,date,content,score,version,thumbs,,,,,,,,,
0,2021-10-08 14:44:14,"Nada funciona, não faz o que propõe, ruim de acessibilidade",1,3.0.0,0,,,,,,,,,
1,2021-10-08 14:41:59,"Tive q dar uma estrela para poder postar. Mas Não gostaria de ter dado nenhuma estrela. Não consigo me cadastrar,na hora do reconhecimento facial da erro no servidor. Já estou com tds documentos pagos, daqui a pouco posso se parado numa blitz e ter o carro rebocado. E como vou tirar o carro se não estou com o CRLV em mãos.",1,3.0.0,0,,,,,,,,,
2,2021-10-08 14:40:41,Mesmo digitando tudo corretp nao libera o acesso,1,3.0.0,0,,,,,,,,,
3,2021-10-08 14:37:54,"Coloco meu CPF e não acontece nada, não é falta de internet e pra quê 80 MB ?",1,3.0.0,0,,,,,,,,,
4,2021-10-08 14:34:00,muito complicado,1,3.0.0,0,,,,,,,,,
5,2021-10-08 14:20:49,Um lixo. Exige um código que não é enviado instantaneamente e quando finalmente chega o app inicia o procedimento do zero não aceitando o código anterior e mandando outro que tbm não chega... E toda vez que abre enfia na sua cara um pedido pra votar no ibest! Que piada. Se tiver a opção app inútil eu voto.,1,3.0.0,0,,,,,,,,,
6,2021-10-08 14:05:54,A ajuda do gov.br e nada é a mesma coisa. Sério mesmo que vocês acham que eu não segui as informações do FAQ e não enviei aquele formulário? Quantos anos eu tenho que esperar para conseguir recuperar a senha?,1,3.0.0,0,,,,,,,,,
8,2021-10-08 14:04:29,"Péssimo. Sem direcionamento correto .E o Poupa Tempo de Santo Amaro é uma piada, recheada de desnorteados. Precisam ter soluções adequadas para uma época de PANDEMIA. Terem mais consciência. Porque pagamos tantos serviços? Façam o favor de corrigirem os erros.",1,3.0.0,0,,,,,,,,,
9,2021-10-08 13:55:50,O reconhecimento facial é ruim o tempo acaba logo...melhorem isso.,1,3.0.0,0,,,,,,,,,
10,2021-10-08 13:13:22,"Aplicativo não funciona no aparelho que utilizo. Retorna mensagem de erro: ""Não foi possível autorizar seu acesso, verifique suas credenciais e tente novamente"". No navegador web consigo acessar a conta normalmente...",1,3.0.0,1,,,,,,,,,
